name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations
Chicago,2016-04-08,6.0,-1.2,3.0,1.7,-6.7,-1.2,-3.4,63.8,1.815,100,20.83,1.6,0.6,37.8,299.4,1010.9,88.3,14.6,2016-04-08T06:20:54,2016-04-08T19:24:37,0.04,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-09,2.8,-4.4,-0.6,2.1,-11.4,-6.0,-10.3,49.1,0.148,100,4.17,1.2,2.2,37.2,12.2,1023.1,41.0,15.5,2016-04-09T06:19:16,2016-04-09T19:25:43,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-10,10.6,1.0,5.4,10.6,-4.4,1.5,0.2,70.6,3.328,100,62.5,0.0,0.2,31.0,178.3,1012.6,98.7,12.5,2016-04-10T06:17:38,2016-04-10T19:26:49,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-11,11.0,5.9,9.1,11.0,3.1,7.1,0.6,59.6,0.015,100,4.17,0.0,0.0,33.0,284.8,1012.9,75.6,14.2,2016-04-11T06:16:01,2016-04-11T19:27:55,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-12,7.3,1.0,4.5,4.9,-2.4,1.6,-5.7,47.9,0.0,0,0.0,0.0,0.0,21.9,47.1,1027.1,5.4,16.0,2016-04-12T06:14:24,2016-04-12T19:29:01,0.18,Clear,Clear conditions throughout the day.,clear-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-13,12.9,2.7,7.6,12.9,0.5,6.2,-2.2,50.9,0.0,0,0.0,0.0,0.0,24.5,100.4,1026.7,72.2,16.0,2016-04-13T06:12:48,2016-04-13T19:30:07,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-14,16.2,4.8,10.3,16.2,2.2,9.1,-2.5,42.6,0.0,0,0.0,0.0,0.0,20.4,99.0,1024.5,27.8,16.0,2016-04-14T06:11:13,2016-04-14T19:31:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-15,20.5,7.1,13.3,20.5,5.2,12.6,0.5,43.0,0.0,0,0.0,0.0,0.0,20.3,83.1,1023.3,15.7,16.0,2016-04-15T06:09:38,2016-04-15T19:32:19,0.28,Clear,Clear conditions throughout the day.,clear-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-16,24.3,9.0,16.3,24.3,7.9,16.2,3.9,46.0,0.0,0,0.0,0.0,0.0,23.6,74.2,1025.2,10.4,16.0,2016-04-16T06:08:04,2016-04-16T19:33:26,0.31,Clear,Clear conditions throughout the day.,clear-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-17,26.6,11.3,18.5,26.6,11.3,18.5,3.6,39.8,0.0,0,0.0,0.0,0.0,25.0,80.5,1027.5,19.0,16.0,2016-04-17T06:06:30,2016-04-17T19:34:32,0.35,Clear,Clear conditions throughout the day.,clear-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-18,28.2,12.5,20.1,26.9,12.5,19.9,3.7,36.4,0.0,0,0.0,0.0,0.0,19.7,105.2,1024.5,66.7,16.0,2016-04-18T06:04:58,2016-04-18T19:35:38,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-19,16.7,8.7,12.2,16.7,6.2,11.5,4.9,61.7,0.0,0,0.0,0.0,0.0,28.9,25.9,1022.6,95.8,16.0,2016-04-19T06:03:26,2016-04-19T19:36:44,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-20,22.1,12.0,16.7,22.1,12.0,16.7,6.0,50.8,6.713,100,16.67,0.0,0.0,25.4,133.5,1017.5,89.4,15.0,2016-04-20T06:01:55,2016-04-20T19:37:50,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-21,21.6,13.6,16.7,21.6,13.6,16.7,10.7,70.7,2.369,100,12.5,0.0,0.0,29.9,230.3,1009.8,91.9,12.4,2016-04-21T06:00:25,2016-04-21T19:38:56,0.48,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-22,14.1,6.6,9.8,14.1,2.4,7.7,4.9,72.2,0.0,0,0.0,0.0,0.0,30.5,5.7,1016.3,71.7,14.2,2016-04-22T05:58:56,2016-04-22T19:40:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-23,15.1,5.4,10.0,15.1,3.0,9.0,3.3,63.8,0.0,0,0.0,0.0,0.0,18.1,61.7,1021.0,48.6,16.0,2016-04-23T05:57:28,2016-04-23T19:41:08,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-24,26.0,7.7,17.3,26.0,7.0,17.0,7.4,54.5,0.0,0,0.0,0.0,0.0,23.4,172.1,1013.8,66.5,16.0,2016-04-24T05:56:01,2016-04-24T19:42:14,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-25,28.2,16.9,22.8,27.7,16.9,22.8,11.4,49.2,0.466,100,12.5,0.0,0.0,34.5,205.2,1005.1,83.4,16.0,2016-04-25T05:54:35,2016-04-25T19:43:20,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-26,23.0,7.0,9.5,23.0,2.6,6.5,5.4,76.3,0.0,0,0.0,0.0,0.0,33.9,25.6,1010.3,89.6,12.5,2016-04-26T05:53:10,2016-04-26T19:44:25,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-27,9.9,6.5,7.9,7.3,2.4,4.5,4.0,76.6,7.282,100,33.33,0.0,0.0,37.1,56.9,1012.4,99.7,14.3,2016-04-27T05:51:46,2016-04-27T19:45:31,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-28,10.4,7.1,8.4,10.4,3.5,5.9,5.2,80.5,10.107,100,29.17,0.0,0.0,22.2,47.2,1012.4,100.0,11.0,2016-04-28T05:50:23,2016-04-28T19:46:37,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-29,10.0,6.6,7.9,7.9,3.7,5.5,4.1,77.0,0.03,100,4.17,0.0,0.0,20.2,13.9,1019.0,98.9,11.2,2016-04-29T05:49:01,2016-04-29T19:47:42,0.75,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-30,9.9,7.1,8.2,7.2,3.2,4.9,5.1,81.1,17.503,100,58.33,0.0,0.0,37.6,67.5,1016.0,99.5,9.2,2016-04-30T05:47:40,2016-04-30T19:48:47,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-05-01,10.5,7.1,8.3,10.5,3.7,5.5,6.5,88.9,10.094,100,25.0,0.0,0.0,27.0,26.2,1015.0,100.0,7.8,2016-05-01T05:46:21,2016-05-01T19:49:53,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
